Unnamed: 0,baseMean,log2FoldChange,pvalue,padj
GTSE1,400.9609328555279,-3.021277313389551,2.9880167000908766e-160,4.188825911439898e-158
MMP1,1090.4893140111228,-6.426609375763774,1.5242116244419649e-159,2.1201901851927607e-157
CCDC69,1196.4072141810443,2.9839559111096734,3.6799152146578315e-159,5.0794152778323166e-157
KIF23,903.6572425899792,-2.5973396721123274,9.86584828532109e-159,1.3513952796320734e-156
LEPR,734.7035325136628,2.7301788801677374,1.058325170674353e-158,1.438680822922772e-156
TMEM37,549.1577543969504,3.019928813646052,4.0391267143403566e-158,5.44948043324236e-156
GPRIN1,328.2815564040945,-2.854340286455004,1.2971994072886975e-157,1.73708553465585e-155
ASPA,83.45576153187487,3.5703239440256587,1.650591649694373e-157,2.193941967564136e-155
GPBAR1,34.67060590172327,2.9643803408601346,2.9295446958284175e-157,3.8652757369077305e-155
KIF11,1266.445841543561,-2.499453072283348,3.288607317649536e-157,4.307355453131626e-155
SPAG5,1279.8869712454737,-2.796251455111909,3.657603411508704e-157,4.7559446098632035e-155
CD34,2923.998717325839,2.144573415994433,3.9187706464581806e-157,5.058879171226302e-155
PRC1,1905.562656159254,-2.639014879567908,4.977401268612591e-157,6.3796063117131655e-155
LMNB1,2004.5319728747404,-2.4278092501495663,5.420734407543327e-157,6.898557319784217e-155
MOCS1,823.16711303842,2.0458829902256266,2.5997555228546623e-156,3.2852121902890175e-154
POC1A,398.4874523862993,-2.0939315577240114,1.045933444500122e-155,1.3124636173503629e-153
MYZAP,513.076965528238,3.326709100910344,1.6330377071944837e-155,2.0209123184757117e-153
