sample/cell_type,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
TCGA-E9-A1R3-01A-31R-A14M-07,0.0183061887406087,0.4895623715470152,0.0904173993115728,0.0625830979026641,0.1489851575567596,0.1449860639901926,0.0096617973211157,0.0013770339151743,0.0341208897148966
TCGA-E9-A1R6-01A-11R-A14D-07,0.0024865433659804,0.3296883381428115,0.4596764178183765,0.0555733957952142,0.0705507866048013,0.0,0.0679142444659057,0.0050101467582873,0.0091001270486228
TCGA-BH-A1FU-01A-11R-A14D-07,0.0810102989004454,0.3894650969096055,0.0496389562293388,0.1147503004793258,0.0441281686207943,0.1119160343687171,0.0742742702271543,0.0041093357438337,0.1307075385207847
TCGA-D8-A1Y2-01A-11R-A157-07,0.0405287787769162,0.4071096188032029,0.0896376504048681,0.0484944583106209,0.2201328302007685,0.0,0.0172308997303336,0.0041030952210467,0.1727626685522426
TCGA-A2-A4RX-01A-11R-A266-07,0.0928509115538447,0.3364059153649693,0.0,0.0514328327808117,0.0257987396224089,0.3978012581526648,0.0268652004511915,0.0038095363845536,0.0650356056895551
TCGA-A8-A09V-01A-11R-A034-07,0.0267956396342473,0.5164954485955746,0.1850366527124431,0.1035712269415537,0.0696071425475316,0.0583079924774746,0.0292065343004182,0.0047598445515096,0.006219518239247
TCGA-AO-A12B-01A-11R-A10J-07,0.0195394717575888,0.1116866388390125,0.463866768381348,0.1484206630924009,0.0400664346556778,0.0,0.0467364619953201,0.054491196335295,0.1151923649433564
TCGA-XX-A899-01A-11R-A36F-07,0.1878010743102337,0.355435353091784,0.0129027990112569,0.1179141644015514,0.0802377064627741,0.0524218957261611,0.0273182793886551,0.0,0.1659687276075833
TCGA-A8-A08P-01A-11R-A00Z-07,0.0141207456115331,0.2682600441695745,0.2473997080632953,0.0519362669107672,0.1583626184968407,0.0,0.0258686357151862,0.0,0.2340519810328028
TCGA-C8-A26W-01A-11R-A16F-07,0.0689563588969973,0.3116970082969635,0.2190555630386334,0.0669704934613552,0.0988371320451878,0.0227953955245668,0.0316887210775339,0.0015087212715013,0.1784906063872604
TCGA-E9-A249-01A-11R-A169-07,0.0481607298149451,0.1757513336965228,0.4714354324128923,0.0785173602256433,0.0728580693494456,0.0540764205370667,0.0295211077303114,0.0,0.0696795462331724
TCGA-A8-A086-01A-11R-A00Z-07,4.1831870301742057e-05,0.5589373563786892,0.2136357130230418,0.0755746602590052,0.0677543056359614,0.0054403448525065,0.0769670730246851,0.0012627428870552,0.0003859720687535
TCGA-B6-A0RV-01A-11R-A084-07,0.0380118652176538,0.1934767198194545,0.2126120163631881,0.1532019514667333,0.0675156006970947,0.0945912596328824,0.0454492487316047,0.006842439259877,0.1882988988115112
TCGA-D8-A1JT-01A-31R-A13Q-07,0.0,0.0299028835065038,0.5779519359182915,0.1936700111691066,0.0877953155598668,0.0072142018979699,0.0895444205607789,0.0,0.0139212313874823
TCGA-OL-A5RV-01A-12R-A28M-07,0.0438808549197846,0.2394341401187631,0.0856025190602846,0.1064861864450487,0.0442824440502799,0.3703247277764375,0.0545165984547877,0.0120066215411419,0.0434659076334717
TCGA-Z7-A8R5-01A-42R-A41B-07,0.0588470438544955,0.1817107799847575,0.166266584318408,0.0961078312707275,0.0864771371312646,0.2371440800138629,0.0647925065381901,0.0002190957156104,0.1084349411726832
TCGA-A8-A0AB-01A-11R-A034-07,0.0,0.3470892222293387,0.46555260632305,0.0717650701653955,0.0395008478266743,0.0320383704706862,0.044053882984855,0.0,0.0
TCGA-E2-A154-01A-11R-A115-07,0.0064723707861545,0.4094295539469556,0.4042817780773617,0.0517447663384523,0.0660592367088597,0.0,0.0531592452393762,0.0013106120144422,0.0075424368883974
TCGA-S3-A6ZG-01A-22R-A32P-07,0.0438671553142129,0.2123990988408444,0.2455667687168927,0.0607718952876772,0.101602931831682,0.1694180060962382,0.0437532372507277,0.0180644012952012,0.1045565053665233
TCGA-D8-A140-01A-11R-A115-07,0.0686273268974487,0.1806757323584403,0.2367640067742848,0.1152533158939064,0.0704517095917575,0.0,0.0880706336784406,0.122684115776667,0.1174731590290542
TCGA-A8-A06Q-01A-11R-A034-07,0.0164489533946935,0.0662541412422893,0.7776452345970175,0.0394847883925261,0.0662114012788411,0.0,0.0128438581710917,0.007911714906463,0.0131999080170774
TCGA-AR-A24Q-01A-12R-A169-07,0.0308718361939572,0.2495743917242115,0.0,0.0830736963138914,0.0494274382187844,0.353917689555679,0.0982636129702393,0.0336835005514359,0.101187834471801
TCGA-A2-A1G6-01A-11R-A13Q-07,0.0068952678631735,0.2107641809978446,0.0,0.1121028395533614,0.0620302670706184,0.4879344033275857,0.0372782639445174,0.0134442014097932,0.0695505758331056
TCGA-D8-A1XL-01A-11R-A14M-07,0.0404370056140872,0.1204238878384333,0.3359407090630935,0.0366926730734719,0.1254274922511204,0.0,0.0585953732213651,0.0157321837677113,0.2667506751707172
TCGA-A2-A1G0-01A-11R-A13Q-07,0.0560386333601488,0.3122524966740458,0.0486264055520341,0.1679933764080164,0.0868733731181745,0.1655037219476333,0.0352852273512013,0.0177719846317855,0.10965478095696
